c_ClaveUnidad	Nombre
G18	Kilogramo por metro cúbico bar
G19	Newton metro por kilogramo
G2	Galón (EUA) por minuto
G20	Libra-fuerza pie por libra
G21	Taza (unidad de volumen)
G23	Peck
G24	Cucharada (estados unidos)
G25	Cucharilla (estados unidos)
G26	Estere
G27	Centímetro cúbico por kelvin
G28	Litro por kelvin
G29	Metro cúbico por kelvin
G3	Galón (RU) por minuto
G30	Mililitro por klevin
G31	Kilogramo por centímetro cúbico
G32	Onza (avoirdupois) por yarda cúbica
G33	Gramo por centímetro cúbico kelvin
G34	Gramo por decímetro cúbico kelvin
G35	Gramo por litro kelvin
G36	Gramo por metro cúbico kelvin
G37	Gramo por mililitro kelvin
G38	Kilogramo por centímetro cúbico kelvin
G39	Kilogramo por litro kelvin
G40	Kilogramo por metro cúbico kelvin
G41	Metro cuadrado por segundo bar
G42	Microsiemens por centímetro
G43	Microsiemens por metro
G44	Nanosiemens por centímetro
G45	Nanosiemens por metro
G46	Stokes por bar
G47	Centímetro cúbico por día
G48	Centímetro cúbico por hora
G49	Centímetro cúbico por minuto
G50	Galón por hora
G51	Litro por segundo
G52	Metro cúbico por día
G53	Metro cúbico por minuto
G54	Mililitro por día
G55	Mililitro por hora
G56	Pulgada cúbica por hora
G57	Pulgada cúbica por minuto
G58	Pulgada cúbica por segundo
G59	Miliamperio por litro minuto
G60	Voltio por bar
G61	Centímetro cúbico por día kelvin
G62	Centímetro cúbico por hora kelvin
G63	Centímetro cúbico por minuto kelvin
G64	Centímetro cúbico por segundo kelvin
G65	Litro por día kelvin
G66	Litro por hora kelvin
G67	Litro por minuto kelvin
G68	Litro por segundo kelvin
G69	Metro cúbico por día kelvin
G7	Hoja de microficha
G70	Metro cúbico por hora kelvin
G71	Metro cúbico por minuto kelvin
G72	Metro cúbico por segundo kelvin
G73	Mililitro por día kelvin
G74	Mililitro por hora kelvin
G75	Mililitro por minuto kelvin
G76	Mililitro por segundo kelvin
G77	Milímetro a la cuarta potencia 
G78	Centímetro cúbico por día bar
G79	Centímetro cúbico por hora bar
G80	Centímetro cúbico por minuto bar
G81	Centímetro cúbico por segundo bar
G82	Litro por día bar
G83	Litro por hora bar
G84	Litro por minuto bar
G85	Litro por segundo bar
G86	Metro cúbico por día bar
G87	Metro cúbico por hora bar
G88	Metro cúbico por minuto bar
G89	Metro cúbico por segundo bar
G90	Mililitro por día bar
G91	Mililitro por hora bar
G92	Mililitro por minuto bar
G93	Mililitro por segundo bar
G94	Centímetro cúbico por bar
G95	Litro por bar
G96	Metro cúbico por bar
G97	Mililitro por bar 
G98	Micro henry por kiloOhm
G99	Micro henry por Ohm
GB	Galón (EUA) por día
GBQ	Gigabecquerel
GC	Gramo por 100 gramos
Gd	Barril bruto
GDW	"Gramo, peso seco"
GE	Libra por galón (EUA)
GF	Gramo por metro (gramo por 100 centímetros)
GFI	Gramo de isótopo fisible
GGR	Grandioso
GH	Medio galón (US)
GIA	Gill (us)
GIC	"Gramo, incluido el contenedor"
GII	Gill (uk)
GIP	"Grama, incluido el embalaje interior"
GJ	Gramo por mililitro
GK	Gramo por kilogramo
GL	Gramo por litro
GLD	Galón seco (EUA)
GLI	Galón (UK)
GLL	Galón (EUA)
GM	Gramo por metro cuadrado
GN	Galón bruto
GO	Miligramo por metro cuadrado
GP	Miligramo por metro cúbico
GQ	Microgramo por metro cúbico
GRM	Gramo
GRN	Grano
GRO	Gross
GT	Tonelada bruta
GV	Gigajoule
GW	Galón por mil pies cúbicos
GWH	Gigawatt hora
GY	Patio grueso
GZ	Sistema de calibración
H03	Henry por kiloOhm
H04	Henry por Ohm
H05	Milihenry por kiloOhm
H06	Milihenry por Ohm
H07	Pascal segundo por bar
H08	Microbequerel
H09	Año recíproco
H1	Media página - electrónica
H10	Hora recíproca
H11	Mes recíproco
H12	Grado celsius por hora
H13	Grado celsius por minuto
H14	Grado celsius por segundo
H15	Centímetro cudrado por gramo
H16	Decámetro cuadrado
H18	Hectómetro cuadrado
H19	Hectómetro cúbico
H2	Medio litro
H20	Kilómetro cúbico
H21	Blanco
H22	Voltio pulgada cuadrada por libra fuerza
H23	Voltio por pulgada
H24	Voltio por microsegundo
H25	Por ciento por kelvin
H26	Ohm por metro
H27	Grado por metro
H28	Microfaradio por kilómetro
H29	Microgramo por litro
H30	Micrómetro cuadrado
H31	Amperio por kilogramo
H32	Amperio cuadrado segundo
H33	Faradio por kilómetro
H34	Hertz metro
H35	Kelvin metro por watt
